Collection name: Vector,number of operations: 10000,unit: ms
Add time, Find time, Remove time
0.164219,48.934809,32.448986
0.158692,41.788531,29.587396
0.127901,41.461278,29.695560
0.138559,41.560757,31.080760
0.134217,53.812815,31.575391
0.194615,39.825802,29.383307
0.151587,39.507628,29.428310
0.116453,47.094059,30.340197
0.116058,39.507233,29.810039
0.148428,45.096591,29.885832
0.122769,40.057524,30.176373
0.146060,52.930140,30.440466
0.117637,39.399070,29.879911
0.184351,45.708069,32.791635
0.136980,39.889752,30.044920
0.174088,40.672949,29.998338
0.114875,43.359267,29.945046
0.118033,46.362970,29.343437
0.159087,43.767051,30.121108
0.115664,58.133425,46.603377
0.174877,65.415894,50.101315
0.217906,65.365365,50.293166
0.197773,46.574560,34.781998
0.136191,45.245019,29.564500
0.150007,40.271087,29.737799
0.125533,41.239425,44.570380
0.116848,39.664346,31.651183
0.143297,41.327061,30.150714
0.116058,39.348542,29.794644
0.321726,44.267997,33.893006
0.118821,43.767446,30.904305
0.199352,41.452199,39.380516
0.211984,55.959896,31.389460
0.181193,43.699153,35.906264
0.147244,40.532022,38.615084
0.161061,43.226629,42.236185
0.144481,62.591411,29.728324
0.129480,40.490571,30.385200
0.167771,40.529258,53.217917
0.147639,53.202917,30.919700
0.167377,39.655267,40.332670
0.163035,40.834799,29.689243
0.151587,40.670581,29.662005
0.117638,40.454255,33.904059
0.116453,40.141607,36.583666
0.148429,40.886513,44.884606
0.114874,39.456705,36.707226
0.158298,41.874983,29.963600
0.117242,45.663856,30.723901
0.165797,42.215263,29.560159
0.136981,40.569918,37.565031
0.151981,40.005021,41.172711
0.149613,40.948489,30.144792
0.130270,49.295222,33.886296
0.118032,63.099068,30.708900
0.115663,39.759877,29.810039
0.148429,40.828878,41.354299
0.118822,39.509602,30.045709
0.206063,39.774484,29.400677
0.176061,47.240119,45.451872
0.148823,39.706980,29.875964
0.141718,42.025385,29.689244
0.120006,63.770153,30.109660
0.145270,51.661392,30.397042
0.122769,39.511971,29.266065
0.225012,39.964756,29.750036
0.115269,40.960332,30.026761
0.173693,40.205163,31.597103
0.137770,39.749219,29.890175
0.151981,55.493689,36.372866
0.151981,58.763457,30.226902
0.149218,45.236730,29.642663
0.147244,39.686848,29.577922
0.116848,49.371804,44.491034
0.164614,40.540706,42.644758
0.123164,40.004627,34.130649
0.215142,51.077152,29.516340
0.136981,39.548288,31.393803
0.143297,40.034628,30.795747
0.115269,40.557680,30.136898
0.119217,42.484882,29.587002
0.148428,40.822957,34.686467
0.123953,43.861003,32.916378
0.168561,39.996731,30.714821
0.140138,45.278574,29.478444
0.174087,42.456065,29.459101
0.139743,44.290498,29.610687
0.148428,39.598422,30.200059
0.118033,39.468942,39.227351
0.124743,39.445257,30.092685
0.126322,39.301170,30.504811
0.115269,43.166232,31.107999
0.152770,39.386832,31.050759
0.117243,39.489074,29.461469
0.167377,40.036601,29.699902
0.137376,40.800851,43.002802
0.151192,39.647372,45.817417
0.179614,51.036492,30.700610
0.116453,39.416045,30.515074
0.147639,43.964429,29.481602
0.117637,39.808432,30.196111
0.176062,41.070469,29.952941
0.145270,39.917385,40.625579
0.194615,41.481805,30.950886
0.137375,41.209818,29.358438
0.183167,42.789634,29.401467
0.116058,43.956929,31.463675
0.115269,42.453301,51.189658
0.137375,44.889344,55.267098
0.115269,50.305404,49.742876
0.196983,73.450373,34.947006
0.248697,59.333485,34.051698
0.147244,46.192435,41.922748
0.130269,64.181095,33.441405
0.050923,53.230944,41.816559
0.047371,39.769352,39.614607
0.046581,46.272570,29.590949
0.054476,39.628818,29.445284
0.063555,39.515524,30.622448
0.063161,53.317001,43.086490
0.046187,41.788926,29.707008
0.048950,40.494125,35.253337
0.056450,61.105547,30.044919
0.046187,48.054107,34.108543
0.047766,47.107876,29.455548
0.047370,40.064630,40.973754
0.046582,40.246612,29.405809
0.059214,40.139633,32.791635
0.047371,52.153653,43.787578
0.046186,39.455915,30.580604
0.085662,39.775668,30.809958
0.047766,58.215535,41.980778
0.046976,39.333146,30.056762
0.069083,41.382326,33.620230
0.046581,50.021969,29.573580
0.047766,40.652816,29.681743
0.047370,39.861330,29.536473
0.047766,39.827776,36.411553
