Collection name: Map,number of operations: 10000,unit: ms
Add time, Find time, Remove time
2.271824,0.003552,0.603188
1.337830,0.003158,0.474497
1.177953,0.003158,0.375808
1.245457,0.003158,0.440548
0.696351,0.003158,0.357649
0.905966,0.003552,2.177477
1.142820,0.003158,0.795435
1.164137,0.003158,0.371861
0.738985,0.006316,1.669425
0.905966,0.003158,0.367123
1.240720,0.003553,0.781618
1.954439,0.003158,0.703456
0.814777,0.003158,0.437390
0.684508,0.028817,1.945755
1.087554,0.003158,0.825436
1.667846,0.006316,1.738113
0.897676,0.003552,0.673060
0.695561,0.003948,0.382914
1.665872,0.003948,1.085186
1.250589,0.003158,0.834121
1.564025,0.003553,0.747274
0.808461,0.003158,0.597267
1.761009,0.003553,0.671481
1.453888,0.003158,0.824646
1.607843,0.003948,0.910309
0.856622,0.005527,0.478839
0.845569,0.003158,2.443149
0.743721,0.003158,0.992418
1.246246,0.003158,0.425942
0.883860,0.003158,0.815173
0.834120,0.003158,0.371861
1.752325,0.004737,0.729905
1.899174,0.003159,0.581081
0.743327,0.003158,0.361597
0.877939,0.003158,1.046105
0.997550,0.003158,0.428705
1.125056,0.003158,2.299062
0.746090,0.003553,0.734642
0.757538,0.003158,0.364755
0.709377,0.007105,1.457441
0.740169,0.003158,0.375414
0.681744,0.003158,0.801356
1.659162,0.003158,0.688061
0.756748,0.003552,0.555818
1.128214,0.003158,0.382519
0.756749,0.003158,0.362387
0.756353,0.003553,0.607136
0.701087,0.003553,2.779481
1.050842,0.003158,0.499367
1.032683,0.003553,0.489893
0.732668,0.003158,0.522657
1.068211,0.003158,0.546343
0.688060,0.005921,0.433837
0.801750,0.003158,0.699509
0.718062,0.003158,0.351333
1.608633,0.003948,0.718852
0.692798,0.003158,0.534895
1.188217,0.003158,0.358439
1.924043,0.003158,0.918204
0.892544,0.003158,0.351334
0.958468,0.003158,0.558580
0.795040,0.005921,0.770565
1.207560,0.003158,0.422784
0.673455,0.003158,0.445285
0.852280,0.003158,0.355675
0.705035,0.003159,0.343833
0.662007,0.003158,0.390020
1.328750,0.003553,0.919388
0.843200,0.003159,0.346596
0.664376,0.002763,0.344228
0.662402,0.003158,0.342253
1.050447,0.003158,0.648980
0.691614,0.003158,0.348176
1.083212,0.003158,0.349359
0.740169,0.003158,0.361597
0.685297,0.002763,0.431469
1.777194,0.003552,1.743244
0.914257,0.003158,0.380545
0.677797,0.003158,0.347780
0.665955,0.003158,0.434626
0.862148,0.003553,1.236377
0.692009,0.002763,0.344228
0.669112,0.003158,0.339491
0.669112,0.002763,0.419626
1.483890,0.003947,1.064659
0.828989,0.003158,0.349754
1.262432,0.003158,0.374230
0.669902,0.003158,0.343833
0.669902,0.003158,0.343833
0.666349,0.003158,0.355281
1.277432,0.003158,0.645032
0.690429,0.003158,0.343833
0.671481,0.002763,0.444495
0.833331,0.003158,0.352912
0.665165,0.003553,1.295196
0.711351,0.003553,0.346596
0.660428,0.004737,0.338701
0.658849,0.003159,0.373045
1.463757,0.003553,1.384806
1.172821,0.003158,0.392783
0.675428,0.003158,0.383703
0.688456,0.003158,0.339885
0.660428,0.003158,0.339490
0.659243,0.003158,0.337517
1.654819,0.003158,0.602793
0.677402,0.003158,0.459102
0.849121,0.003158,0.364360
0.939521,0.003158,0.343833
1.066238,0.003158,0.404625
0.954522,0.003158,0.344622
0.662797,0.003158,0.354491
0.668718,0.003158,0.339491
1.248615,0.003552,1.087554
0.923336,0.004738,0.360018
0.775697,0.003158,0.348965
1.110055,0.003158,0.352517
0.673454,0.003158,0.346596
0.689245,0.003158,0.753591
2.357091,0.003552,0.591345
0.864122,0.003158,0.350544
0.673849,0.003158,0.348570
0.726352,0.003158,0.337517
1.147162,0.003158,0.474103
0.658849,0.003158,0.345412
0.673059,0.003158,0.352517
0.687666,0.003158,0.382124
1.212692,0.003158,0.530947
0.793460,0.003158,0.361992
0.680165,0.002763,0.421600
0.676613,0.003158,0.343833
0.664376,0.003158,0.337911
1.203218,0.003948,0.860175
0.750827,0.003158,0.370282
0.687666,0.003158,0.349359
0.680560,0.003158,0.342253
0.671481,0.002764,1.440861
0.866886,0.003158,0.410547
0.759512,0.003158,0.447259
0.862937,0.003158,0.410942
0.669112,0.003158,0.348176
0.666349,0.003158,0.368308
1.623633,0.007895,0.701483
0.696745,0.003553,0.348175
0.666349,0.003158,0.354096
1.085186,0.003158,0.339885
0.920573,0.003553,0.479234
0.819909,0.003158,0.350544
0.674244,0.003159,0.343832
0.827410,0.003947,0.568844
0.677008,0.003158,0.585424
1.826144,0.003158,0.525816
0.943074,0.003158,0.387651
0.672270,0.003158,0.342254
0.663980,0.003158,0.343833
0.662401,0.002763,0.339095
1.135715,0.003158,0.592530
0.686481,0.002763,0.341465
0.671086,0.003158,0.340675
0.677403,0.003158,0.340280
0.671086,0.003552,1.567973
1.080843,0.003158,0.461865
0.808461,0.003158,0.345807
0.699903,0.003158,0.606741
0.714114,0.013816,0.346201
0.665165,0.007501,0.403046
1.227693,0.003158,0.553844
0.684113,0.003158,0.355281
0.673454,0.003159,0.341859
0.676218,0.003158,0.351333
0.664376,0.003158,0.347781
0.922546,0.003158,0.378967
0.684903,0.003158,0.342648
0.675823,0.003159,0.343833
0.673455,0.003158,0.449628
0.813593,0.003553,0.729116
0.904782,0.003158,0.676613
1.072948,0.003552,0.661612
0.706614,0.003158,0.346202
0.688850,0.002763,0.349359
0.807277,0.003158,0.518710
0.727931,0.003158,0.353307
0.670691,0.003158,0.345807
0.666349,0.002763,0.432653
0.848332,0.003158,0.444496
1.402570,0.003158,0.585029
0.708983,0.003158,0.344623
0.664770,0.003159,0.341464
0.691219,0.003158,0.359623
0.662796,0.003158,0.343044
1.453493,0.003553,1.472047
0.999524,0.003158,0.394362
0.670297,0.003158,0.342648
0.672270,0.003158,0.360018
0.664375,0.003158,0.394757
0.715694,0.003158,0.351333
0.668323,0.003158,0.452786
1.051632,0.003158,0.340675
0.663981,0.003158,0.443312
1.188612,0.002764,0.417257
0.678192,0.003158,0.343438
0.681350,0.003158,0.338307
0.693982,0.003158,0.350938
0.664375,0.003158,0.339491
0.663981,0.002764,0.345412
1.560868,0.003158,1.516260
0.882675,0.003158,0.395546
0.677008,0.003158,0.352913
0.680166,0.003158,0.350544
1.048869,0.003158,0.844779
0.681744,0.003158,0.342649
0.685692,0.003553,0.342649
0.663585,0.003158,0.341859
0.693982,0.003158,0.450022
1.279406,0.006711,0.817541
0.684902,0.003158,0.341464
0.669902,0.002763,0.349359
0.706219,0.003158,0.351333
0.689245,0.003158,0.346990
0.671481,0.003158,0.367518
1.657978,0.003158,1.061500
0.694377,0.003158,0.352913
1.084791,0.003158,0.355676
0.677008,0.003158,0.341860
0.686876,0.003158,0.636348
0.686877,0.003158,0.349754
0.666349,0.002763,0.341069
0.660822,0.003158,0.342254
0.668718,0.003158,0.480418
1.018472,0.003553,0.553843
0.773722,0.003553,0.358044
0.706614,0.003158,0.405415
1.171242,0.003158,0.347385
0.668323,0.003158,0.343833
