Collection name: Set,number of operations: 10000,unit: ms
Add time, Find time, Remove time
0.883860,0.011448,0.469761
0.951363,0.018159,0.669901
0.888597,0.014211,0.451601
0.893334,0.010658,0.446075
1.521392,0.014211,1.065843
0.950968,0.010659,0.448048
0.885045,0.010659,0.456339
0.911493,0.010659,0.459891
1.193349,0.023685,0.761091
0.892149,0.010658,0.896097
0.884650,0.010658,0.451601
0.878334,0.023686,0.457128
0.944258,0.010659,0.628058
0.891755,0.010659,0.455549
0.880307,0.010659,0.701088
1.058737,0.023291,0.718062
1.009393,0.010659,0.731483
0.980970,0.011053,0.488314
0.875570,0.023291,0.729115
0.926099,0.023290,0.467392
0.948600,0.011448,0.677402
0.884255,0.011448,0.453575
0.870043,0.011448,0.481603
1.841934,0.023291,0.688851
1.773641,0.011053,0.491472
0.971101,0.010659,0.502131
0.889387,0.010658,0.664376
0.889386,0.010658,0.668718
0.894123,0.022106,0.448444
0.894913,0.010658,0.451996
0.879912,0.010658,0.659638
1.508760,0.010264,0.458313
0.891360,0.010263,0.457128
0.948205,0.011448,0.454365
0.890571,0.010659,0.511210
0.907940,0.010658,0.459891
1.280196,0.010658,0.450812
0.877939,0.011053,0.692403
1.856934,0.011053,0.538053
0.904782,0.011054,0.481998
0.879912,0.010263,0.450022
0.966364,0.011053,1.063079
0.918598,0.011053,0.469760
0.871622,0.010659,0.525816
1.573499,0.023291,0.464629
1.544288,0.010658,0.472129
0.870833,0.011053,0.737011
0.886229,0.011448,0.464628
0.891360,0.011053,0.457128
0.912677,0.011448,0.449628
0.869254,0.010659,0.463049
1.072159,0.011053,0.471734
0.980180,0.010658,0.470944
0.876359,0.010659,0.453181
0.900440,0.010658,1.209534
0.972680,0.010658,0.750827
0.937941,0.010659,0.729905
0.911493,0.011053,0.719641
0.875965,0.011053,0.720036
0.986497,0.019343,0.785171
0.900044,0.011053,0.452391
0.947021,0.011053,0.451206
0.988076,0.023290,0.501735
0.923335,0.023290,0.755564
0.932020,0.010658,0.577528
0.880307,0.010659,0.450417
1.312171,0.023686,0.476076
0.899650,0.011842,1.534024
0.996760,0.011053,0.476866
0.871228,0.011053,0.449628
2.587630,0.016580,0.483577
0.903598,0.010659,0.489499
1.608633,0.023686,0.761090
1.530077,0.023290,0.815961
1.543104,0.023685,0.707404
2.386698,0.070267,1.214666
1.769299,0.010659,0.688061
0.888597,0.016580,0.591740
1.294407,0.011054,0.654901
1.367437,0.020922,0.472523
1.547051,0.010659,0.467392
1.751140,0.029212,0.842016
0.920573,0.018553,0.775302
1.364278,0.010659,0.716484
1.627186,0.019737,0.560159
1.417571,0.011842,3.999279
2.945279,0.020527,1.451915
1.655214,0.017369,0.800961
2.370513,0.097110,1.570736
1.608633,0.023686,1.023999
1.647714,0.019343,0.651743
2.274192,0.023686,0.826225
1.482311,0.023290,0.692403
1.464547,0.025264,1.401781
1.202033,0.023291,0.712141
1.523365,0.023685,1.078869
1.307828,0.019343,0.789119
1.498890,0.067503,1.207560
1.062684,0.010658,0.714115
0.902019,0.023685,0.764643
0.894913,0.010658,0.488709
0.875175,0.010659,0.489893
0.878728,0.010658,0.742932
1.075712,0.010658,0.471734
0.880307,0.010658,0.454759
0.877544,0.010658,0.447654
0.969917,0.011053,0.545158
0.993997,0.010658,0.457918
0.880702,0.010264,0.446864
0.873991,0.010658,0.447259
0.915835,0.010658,0.447259
0.891360,0.010658,0.477656
0.883465,0.015790,0.475287
0.898071,0.011448,0.450022
0.877544,0.010263,0.450812
0.903993,0.011053,0.496999
1.008998,0.010658,0.454365
0.875175,0.010658,0.450417
0.875965,0.011054,1.851409
2.091815,0.016580,0.972285
1.322039,0.010658,1.147557
1.777588,0.018159,0.874386
1.742061,0.019343,0.772933
0.889387,0.010658,0.450023
0.878334,0.010659,0.449233
0.898071,0.011448,0.701877
0.982154,0.010659,0.457128
0.875965,0.010659,0.451601
0.894913,0.011053,0.485155
1.558894,0.023291,0.738195
1.785089,0.011053,1.268747
0.986497,0.011448,0.710957
1.168479,0.010658,1.447177
1.815880,0.010658,1.399017
2.925541,0.023685,0.703061
1.451519,0.023686,1.365858
1.464152,0.016975,1.110450
1.889305,0.020922,0.907545
3.387406,0.052503,1.063869
2.344064,0.057240,1.414018
2.852115,0.020922,1.392701
2.554864,0.039476,1.293222
1.134135,0.035134,1.534418
1.756666,0.022106,0.946626
1.868383,0.017764,0.854253
1.974572,0.018158,6.780338
1.579421,0.030002,1.967861
1.830091,0.023686,0.799777
1.058342,0.041055,1.271511
1.742456,0.023291,1.879436
1.047684,0.068293,1.862066
1.656793,0.014211,1.693505
2.262744,0.024080,1.103739
2.071682,0.049739,1.360331
0.958074,0.018159,0.914651
0.962416,0.024475,0.732668
1.635082,0.056845,1.297565
1.417965,0.020133,1.134135
2.660264,0.019343,1.406518
1.316907,0.061977,0.499761
1.426256,0.020132,1.387569
1.107687,0.010658,0.853858
1.975362,0.056055,1.483100
1.301907,0.023291,1.080843
1.689952,0.024080,1.219797
1.674952,0.040265,0.877938
0.996366,0.010658,1.324408
1.615344,0.023686,0.749248
1.315329,0.019343,0.868070
1.251378,0.018554,0.817936
0.928862,0.011054,1.084001
1.084791,0.010659,0.506472
0.887807,0.010659,0.454365
0.917019,0.011448,0.783592
1.014524,0.011053,0.465023
0.880307,0.010658,0.450812
0.945837,0.023685,0.582265
2.541837,0.043423,0.478840
1.464942,0.011054,0.970706
0.962416,0.010658,0.449627
0.963601,0.010659,0.457128
1.722323,0.023685,0.996366
1.500075,0.011053,0.460286
0.887018,0.011053,0.446469
0.979391,0.011053,0.456338
1.500469,0.010658,0.658454
1.239930,0.011053,0.665954
0.899256,0.010659,0.475287
0.902413,0.011053,0.454760
1.157426,0.011053,0.616610
0.906361,0.011053,0.449233
0.872412,0.010658,0.487130
1.050052,0.021711,0.986891
0.894913,0.010264,0.450812
0.945442,0.010659,0.876359
0.973075,0.011053,0.470944
1.168085,0.019738,0.786750
1.166900,0.011448,0.563317
0.885044,0.011054,0.448048
1.497311,0.010659,0.466208
0.911888,0.024870,0.974259
1.064264,0.010658,0.486735
0.873596,0.014211,0.453181
0.944653,0.011053,0.729905
1.968256,0.011054,0.559765
0.892545,0.011053,0.463049
0.903598,0.023290,0.477260
0.903597,0.010659,0.451207
1.720349,0.011448,1.069395
0.995576,0.023291,0.454365
0.870438,0.010659,0.453575
0.939126,0.015790,1.182295
0.910309,0.011448,0.459891
0.945837,0.023291,0.452391
1.034262,0.011054,0.509236
0.915441,0.020922,0.751221
0.952548,0.010659,0.501341
0.908730,0.010658,0.451601
1.528497,0.010658,0.470944
0.880701,0.011053,1.021630
1.080448,0.010659,0.471734
0.879123,0.010658,0.450417
0.988470,0.012238,1.153084
1.150715,0.011053,0.512394
0.908730,0.010658,0.482787
0.984918,0.011053,0.485551
0.880307,0.010658,0.459497
0.935179,0.011053,0.483971
1.164137,0.010659,0.472523
0.876360,0.010658,0.449628
1.579421,0.011053,1.358357
1.085580,0.010658,0.473313
1.141636,0.021317,1.099397
0.941889,0.010659,0.496999
0.922152,0.010659,0.470945
1.562446,0.023291,0.718063
1.636266,0.026054,1.280196
1.047289,0.010659,0.501340
1.085185,0.015791,1.247431
1.312961,0.011053,0.607925
0.927678,0.010658,0.464629
0.890570,0.011053,1.326382
1.149925,0.010659,0.806487
0.905177,0.010658,0.472524
0.923335,0.011054,0.455154
1.519024,0.010659,0.465418
0.872806,0.010658,1.527708
1.579026,0.011053,0.489498
0.929652,0.011054,0.494235
1.123872,0.023685,0.670297
0.910704,0.010263,0.448443
0.927283,0.011053,0.548712
0.885834,0.010659,0.453970
0.877149,0.016975,0.801751
1.626396,0.011053,0.977812
1.672978,0.023686,1.008603
1.749956,0.011447,1.089528
